Name,Ortschaft,Latitude,Longitude,Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Golf,Tennis,Disco,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
Camping Gravas,7078 Lenzerheide (GR),46.72276,9.55544,35.0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,38.0,1,2,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,8,0,1
Camping Gravas,7078 Lenzerheide (GR),46.72276,9.55544,35.0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,43.0,1,2,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,8,0,1
Camping Gravas,7078 Lenzerheide (GR),46.72276,9.55544,35.0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,40.0,1,2,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,8,0,1
Camping Gravas,7078 Lenzerheide (GR),46.72276,9.55544,35.0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,45.0,1,2,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,8,0,1
Camping St. Cassian,7083 Lenz b. Lenzerheide (GR),46.69869194,9.558403889,70.0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,37.0,1,3,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7,1,1
Camping St. Cassian,7083 Lenz b. Lenzerheide (GR),46.69869194,9.558403889,70.0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,39.0,1,3,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7,1,1
Islas,7477 Filisur (GR),46.67172194,9.675058056,50.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,36.5,1,3,2,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,1,0
Islas,7477 Filisur (GR),46.67172194,9.675058056,50.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,34.0,1,3,2,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0
Camping Andeer,7440 Andeer (GR),46.60712306,9.425958056,30.0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.99,42.5,1,3,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,6,0,1
Camping Andeer,7440 Andeer (GR),46.60712306,9.425958056,30.0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.99,57.5,1,3,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,6,0,1
Camping Andeer,7440 Andeer (GR),46.60712306,9.425958056,30.0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.99,37.5,1,3,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,6,0,1
Camping Andeer,7440 Andeer (GR),46.60712306,9.425958056,30.0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.99,52.5,1,3,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,6,0,1
Chapella,7526 Cinuos-Chel (GR),46.63235389,10.014305,100.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27.5,0,3,1,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,5,0,0
Camping Muglin Val Müstair,7537 Müstair (GR),46.62416889,10.44930694,65.0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0.73,30.7,1,4,2,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
Camping Muglin Val Müstair,7537 Müstair (GR),46.62416889,10.44930694,65.0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0.73,29.4,1,4,2,Graubuenden,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
Camping Murg am See,8877 Murg (SG),47.11516611,9.214216111,45.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.54,51.4,0,3,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,11,1,1
Camping Murg am See,8877 Murg (SG),47.11516611,9.214216111,45.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.54,46.4,0,3,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,11,1,1
Eischen,9050 Appenzell-Kau (AI),47.32261694,9.387335,60.0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,37.5,1,4,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,11,1,0
Eischen,9050 Appenzell-Kau (AI),47.32261694,9.387335,60.0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,42.5,1,4,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,11,1,0
Bächli,9633 Bächli-Hemberg (SG),47.30675,9.194128889,40.0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,27.0,1,4,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,1
Wagenhausen,8259 Wagenhausen (TG),47.66241,8.840586944,40.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0.6,41.0,1,4,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,7,1,1
Wagenhausen,8259 Wagenhausen (TG),47.66241,8.840586944,40.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0.6,43.0,1,4,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,7,1,1
Wagenhausen,8259 Wagenhausen (TG),47.66241,8.840586944,40.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0.6,35.5,1,4,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,7,1,1
Wagenhausen,8259 Wagenhausen (TG),47.66241,8.840586944,40.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0.6,37.0,1,4,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,7,1,1
Hüttenberg,8264 Eschenz (TG),47.64472194,8.859721944,60.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.55,37.5,1,5,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8,1,1
Hüttenberg,8264 Eschenz (TG),47.64472194,8.859721944,60.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.55,43.5,1,5,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8,1,1
Hüttenberg,8264 Eschenz (TG),47.64472194,8.859721944,60.0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.55,48.5,1,5,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8,1,1
Hüttenberg,8264 Eschenz (TG),47.64472194,8.859721944,60.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.55,43.5,1,5,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,1,1
Hüttenberg,8264 Eschenz (TG),47.64472194,8.859721944,60.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.55,51.5,1,5,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,1,1
Hüttenberg,8264 Eschenz (TG),47.64472194,8.859721944,60.0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.55,56.5,1,5,1,Ostschweiz,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,1,1
