Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Tennis,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
35.0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,38.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,8,0,1
35.0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,43.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,8,0,1
35.0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,40.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,8,0,1
35.0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,45.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,8,0,1
70.0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1.0,37.0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7,1,1
70.0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1.0,39.0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7,1,1
50.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,36.5,1,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,1,0
50.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,34.0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0
30.0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.99,42.5,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,6,0,1
30.0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.99,57.5,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,6,0,1
30.0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.99,37.5,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,6,0,1
30.0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.99,52.5,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,6,0,1
100.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27.5,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,5,0,0
65.0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.73,30.7,1,4,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
65.0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.73,29.4,1,4,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
45.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.54,51.4,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,11,1,1
45.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.54,46.4,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,11,1,1
