URL;Preisseite;Latitude;Longitude;Stellplatz am Wasser;weiter Unterküfte;kleiner Platz (<80 m2);mittlerer Platz  (~100 m2);grosser Platz (>110 m2);Hauptsaison;Nebensaison;Preis
https://camping.ch/de/campingplatz/graubuenden/lenzerheide/camping-gravas?l=true;https://camping-lenzerheide.ch/de/camping-gravas/angebot-preise/;46.72276;9.55544;0;1;1;0;0;1;0;38
https://camping.ch/de/campingplatz/graubuenden/lenzerheide/camping-gravas?l=true;https://camping-lenzerheide.ch/de/camping-gravas/angebot-preise/;46.72276;9.55544;0;1;0;1;0;1;0;43
https://camping.ch/de/campingplatz/graubuenden/lenzerheide/camping-gravas?l=true;https://camping-lenzerheide.ch/de/camping-gravas/angebot-preise/;46.72276;9.55544;0;1;1;0;0;0;1;40
https://camping.ch/de/campingplatz/graubuenden/lenzerheide/camping-gravas?l=true;https://camping-lenzerheide.ch/de/camping-gravas/angebot-preise/;46.72276;9.55544;0;1;0;1;0;0;1;45
https://camping.ch/de/campingplatz/graubuenden/lenz-b-lenzerheide/st-cassian?l=true;https://camping-lenzerheide.ch/de/camping-st-cassian/angebot-preise/;46.69869194;9.558403889;0;1;1;0;0;1;0;37
https://camping.ch/de/campingplatz/graubuenden/lenz-b-lenzerheide/st-cassian?l=true;https://camping-lenzerheide.ch/de/camping-st-cassian/angebot-preise/;46.69869194;9.558403889;0;1;1;0;0;0;1;39
https://camping.ch/de/campingplatz/graubuenden/filisur/islas?l=true;https://www.campingislas.ch/kontakt-preise/;46.67172194;9.675058056;0;1;0;1;0;1;0;36.5
https://camping.ch/de/campingplatz/graubuenden/filisur/islas?l=true;https://www.campingislas.ch/kontakt-preise/;46.67172194;9.675058056;0;1;1;0;0;0;1;34
https://camping.ch/de/campingplatz/graubuenden/andeer/camping-andeer?l=true;https://www.viamala.ch/de/camping-andeer/tarife-passantenplaetze;46.60712306;9.425958056;0;1;1;0;0;1;0;42.5
https://camping.ch/de/campingplatz/graubuenden/andeer/camping-andeer?l=true;https://www.viamala.ch/de/camping-andeer/tarife-passantenplaetze;46.60712306;9.425958056;0;1;0;1;0;1;0;57.5
https://camping.ch/de/campingplatz/graubuenden/andeer/camping-andeer?l=true;https://www.viamala.ch/de/camping-andeer/tarife-passantenplaetze;46.60712306;9.425958056;0;1;1;0;0;0;1;37.5
https://camping.ch/de/campingplatz/graubuenden/andeer/camping-andeer?l=true;https://www.viamala.ch/de/camping-andeer/tarife-passantenplaetze;46.60712306;9.425958056;0;1;0;1;0;0;1;52.5
https://camping.ch/de/campingplatz/graubuenden/cinuos-chel/chapella?l=true;https://www.campingchapella.ch/allegra/preise-reservation/;46.63235389;10.014305;0;1;1;0;0;1;1;27.5
https://camping.ch/de/campingplatz/graubuenden/muestair/camping-muglin-val-muestair?l=true;https://campingmuglin.ch/preise/;46.62416889;10.44930694;0;1;1;0;0;1;1;30.7
https://camping.ch/de/campingplatz/graubuenden/muestair/camping-muglin-val-muestair?l=true;https://campingmuglin.ch/preise/;46.62416889;10.44930694;0;1;0;1;0;1;1;29.4
